AnthropogenicHUC_PUptake_year,AnthropogenicHUC_PUptake_day,HUC_8,AREA_ACRES,PFOR_year,PWETL_year,PAGC_year,PAGP_year,PDEV_year,PFOR_day,PWETL_day,PAGC_day,PAGP_day,PDEV_day
2683267.956402207 kilogram,7351.419058636183 kilogram,05130107,510039.929974 acre,2047086.2136054293 kilogram,23774.11441767431 kilogram,2002519.2964382889 kilogram,656974.5455462439 kilogram,0.0 kilogram,5608.455379740903 kilogram,65.13456004842277 kilogram,5486.35423681723 kilogram,1799.9302617705312 kilogram,0.0 kilogram
803615.6567486387 kilogram,2201.686730818188 kilogram,04070005,385107.521611 acre,1574218.1528919651 kilogram,342164.7068378391 kilogram,359534.5953925189 kilogram,101916.35451828073 kilogram,0.0 kilogram,4312.926446279356 kilogram,937.437552980381 kilogram,985.0262887466272 kilogram,279.2228890911801 kilogram,0.0 kilogram
151408.59249930654 kilogram,414.81806164193574 kilogram,18010105,1204631.42128 acre,6599571.688497154 kilogram,15584.797866167435 kilogram,21011.819178824204 kilogram,114811.9754543149 kilogram,0.0 kilogram,18081.018324649736 kilogram,42.698076345664205 kilogram,57.5666278871896 kilogram,314.5533574090819 kilogram,0.0 kilogram
6508203.139707887 kilogram,17830.693533446265 kilogram,07040005,460170.446312 acre,1585343.6201055 kilogram,26118.389192107497 kilogram,6138377.618461352 kilogram,343707.1320544274 kilogram,0.0 kilogram,4343.407178371233 kilogram,71.55723066330822 kilogram,16817.472927291376 kilogram,941.663375491582 kilogram,0.0 kilogram
18762.92350777318 kilogram,51.40526988431008 kilogram,17100207,89342.4266675 acre,360898.7085105205 kilogram,17106.038726746396 kilogram,736.5401655957967 kilogram,920.344615430985 kilogram,0.0 kilogram,988.7635849603301 kilogram,46.86585952533259 kilogram,2.017918261906292 kilogram,2.521492097071192 kilogram,0.0 kilogram
23781.353024811713 kilogram,65.15439184879921 kilogram,17110005,1054960.14181 acre,6489326.9432484135 kilogram,13434.495124436178 kilogram,2248.2066932939856 kilogram,8098.651207081551 kilogram,0.0 kilogram,17778.977926707983 kilogram,36.80683595735939 kilogram,6.159470392586262 kilogram,22.188085498853564 kilogram,0.0 kilogram
5255620.5785827935 kilogram,14398.960489267927 kilogram,03140201,986785.864601 acre,3968556.6224536416 kilogram,172184.47237154478 kilogram,4682673.276737821 kilogram,400762.82947342785 kilogram,0.0 kilogram,10872.757869736004 kilogram,471.7382804699857 kilogram,12829.241854076223 kilogram,1097.9803547217202 kilogram,0.0 kilogram
887555.451622385 kilogram,2431.658771568178 kilogram,11120304,568507.96431 acre,46683.24224513439 kilogram,2775.669406169134 kilogram,881706.5648188954 kilogram,3073.217397320476 kilogram,0.0 kilogram,127.899293822286 kilogram,7.604573715531874 kilogram,2415.6344241613574 kilogram,8.419773691288976 kilogram,0.0 kilogram
14064959.607050337 kilogram,38534.13590972695 kilogram,07010202,666781.619714 acre,557904.9549128832 kilogram,86597.000383089 kilogram,13276301.220286798 kilogram,702061.3863804516 kilogram,0.0 kilogram,1528.5067257887213 kilogram,237.25205584407948 kilogram,36373.428000785745 kilogram,1923.4558530971276 kilogram,0.0 kilogram
10521031.065571891 kilogram,28824.742645402443 kilogram,10280103,1505382.54038 acre,1842527.4107641685 kilogram,206556.33355536318 kilogram,7199561.456960404 kilogram,3114913.2750561233 kilogram,0.0 kilogram,5048.020303463475 kilogram,565.9077631653786 kilogram,19724.825909480558 kilogram,8534.008972756503 kilogram,0.0 kilogram
49289.87797294767 kilogram,135.04076156971962 kilogram,18010104,482143.487663 acre,2236650.69217867 kilogram,1051.0616707497838 kilogram,1958.3695334936447 kilogram,46280.44676870424 kilogram,0.0 kilogram,6127.810115558 kilogram,2.8796210157528326 kilogram,5.365395982174369 kilogram,126.79574457179244 kilogram,0.0 kilogram
0.0 kilogram,0.0 kilogram,18060011,449741.752987 acre,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram
1180154.1474856236 kilogram,3233.299034207188 kilogram,05090103,645233.692881 acre,3779993.7976001985 kilogram,563.2940170755767 kilogram,791411.019906405 kilogram,388179.83356214303 kilogram,0.0 kilogram,10356.147390685475 kilogram,1.5432712796591141 kilogram,2168.249369606589 kilogram,1063.5063933209399 kilogram,0.0 kilogram
289885.28817926574 kilogram,794.2062689842897 kilogram,02050203,498385.007995 acre,4080511.3312886492 kilogram,7289.2938481779365 kilogram,219864.20113670704 kilogram,62731.79319438077 kilogram,0.0 kilogram,11179.483099420957 kilogram,19.970668077199825 kilogram,602.3676743471426 kilogram,171.8679265599473 kilogram,0.0 kilogram
22435.0434729227 kilogram,61.465872528555344 kilogram,13040212,1716659.43622 acre,19304.36998652968 kilogram,12969.298874141925 kilogram,9465.744598780777 kilogram,0.0 kilogram,0.0 kilogram,52.888684894601866 kilogram,35.53232568258061 kilogram,25.933546845974732 kilogram,0.0 kilogram,0.0 kilogram
2560689.3727736813 kilogram,7015.58732266762 kilogram,04010101,3794573.41553 acre,23059062.090580903 kilogram,2517052.538767974 kilogram,37621.93956087608 kilogram,6014.894444830981 kilogram,0.0 kilogram,63175.51257693398 kilogram,6896.03435278897 kilogram,103.07380701609885 kilogram,16.479162862550634 kilogram,0.0 kilogram
944754.5755003142 kilogram,2588.368700000861 kilogram,12020003,721841.355389 acre,2223954.818333557 kilogram,779693.3500931595 kilogram,38674.266692266516 kilogram,126386.95871488821 kilogram,0.0 kilogram,6093.026899543991 kilogram,2136.146164638793 kilogram,105.95689504730552 kilogram,346.2656403147622 kilogram,0.0 kilogram
534414.0331341482 kilogram,1464.1480359839677 kilogram,03150103,358843.690855 acre,2038164.6228042755 kilogram,7817.740340936201 kilogram,272819.8381371309 kilogram,253776.4546560812 kilogram,0.0 kilogram,5584.012665217193 kilogram,21.41846668749644 kilogram,747.4516113346052 kilogram,695.2779579618663 kilogram,0.0 kilogram
2005861.1469759084 kilogram,5495.509991714817 kilogram,11130206,649996.397208 acre,116437.21078191194 kilogram,3408.192934004662 kilogram,2000504.0606468066 kilogram,1948.8933950973164 kilogram,0.0 kilogram,319.00605693674504 kilogram,9.337514887684007 kilogram,5480.833042867964 kilogram,5.33943395917073 kilogram,0.0 kilogram
2202306.084526744 kilogram,6033.7153000732715 kilogram,12100406,658582.381384 acre,467345.5640088866 kilogram,105489.43358521536 kilogram,1213081.642277633 kilogram,883735.0086638958 kilogram,0.0 kilogram,1280.398805503799 kilogram,289.0121468088092 kilogram,3323.511348705844 kilogram,2421.1918045586185 kilogram,0.0 kilogram
5655580.388489914 kilogram,15494.740790383326 kilogram,12070201,1927881.88053 acre,2749599.647702059 kilogram,80774.57591263622 kilogram,5127240.092901662 kilogram,447565.71967561595 kilogram,0.0 kilogram,7533.149719731668 kilogram,221.30020797982527 kilogram,14047.23313123743 kilogram,1226.207451166071 kilogram,0.0 kilogram
430116.16514195397 kilogram,1178.4004524437096 kilogram,03160112,803043.107715 acre,4736140.798265245 kilogram,54719.36270866419 kilogram,250423.20785579996 kilogram,124973.59457748983 kilogram,0.0 kilogram,12975.728214425328 kilogram,149.91606221551834 kilogram,686.0909804268492 kilogram,342.393409801342 kilogram,0.0 kilogram
524056.0822337791 kilogram,1435.7700883117234 kilogram,03150102,550609.730129 acre,3660975.738149382 kilogram,5955.7082136726285 kilogram,255736.71339204872 kilogram,262363.6606280577 kilogram,0.0 kilogram,10030.070515477759 kilogram,16.317008804582542 kilogram,700.6485298412293 kilogram,718.8045496659116 kilogram,0.0 kilogram
6391894.154551571 kilogram,17512.038779593346 kilogram,18030009,81670.830488 acre,13259.136871840934 kilogram,641.9020672212139 kilogram,6374194.498688762 kilogram,17057.753795588524 kilogram,0.0 kilogram,36.326402388605295 kilogram,1.7586358006060654 kilogram,17463.546571750034 kilogram,46.73357204270828 kilogram,0.0 kilogram
1177314.6978729786 kilogram,3225.5197201999413 kilogram,12030104,459352.776498 acre,581475.1568350459 kilogram,6379.04818763166 kilogram,947548.8021910352 kilogram,223386.84749431163 kilogram,0.0 kilogram,1593.0826214658791 kilogram,17.47684434967578 kilogram,2596.0241155918775 kilogram,612.018760258388 kilogram,0.0 kilogram
54198439.89468223 kilogram,148488.87642378692 kilogram,04030202,2385758.33098 acre,7050715.322977325 kilogram,1597497.7593747221 kilogram,51515921.43410786 kilogram,1085020.701199641 kilogram,0.0 kilogram,19317.028282129657 kilogram,4376.706190067732 kilogram,141139.5107783777 kilogram,2972.659455341482 kilogram,0.0 kilogram
26979.58486029051 kilogram,73.91667085011099 kilogram,16050304,540151.632133 acre,1138941.3500435862 kilogram,5980.725303547953 kilogram,12649.980421554246 kilogram,8348.879135188312 kilogram,0.0 kilogram,3120.387260393387 kilogram,16.38554877684371 kilogram,34.657480606997936 kilogram,22.873641466269348 kilogram,0.0 kilogram
6108747.033335294 kilogram,16736.293242014504 kilogram,08010208,935413.520968 acre,2561258.327064932 kilogram,290713.651763847 kilogram,5536940.804935723 kilogram,281092.57663572434 kilogram,0.0 kilogram,7017.146101547759 kilogram,796.475758257115 kilogram,15169.700835440335 kilogram,770.116648317053 kilogram,0.0 kilogram
2710544.790059988 kilogram,7426.150109753392 kilogram,18020002,1702510.45682 acre,5704333.130521066 kilogram,45707.8954566547 kilogram,2230208.178735566 kilogram,434628.7158677676 kilogram,0.0 kilogram,15628.309946633057 kilogram,125.22711084014988 kilogram,6110.159393796071 kilogram,1190.7636051171714 kilogram,0.0 kilogram
776370.572438005 kilogram,2127.042664213712 kilogram,17060209,759140.771182 acre,3740570.6810979517 kilogram,4562.7679387698045 kilogram,720495.5704053326 kilogram,51312.234093902625 kilogram,0.0 kilogram,10248.138852323156 kilogram,12.500734078821383 kilogram,1973.960466863925 kilogram,140.58146327096608 kilogram,0.0 kilogram
553481.4727638069 kilogram,1516.3875966131698 kilogram,10080009,735835.136458 acre,818693.9298133157 kilogram,42626.41290766557 kilogram,384549.441143617 kilogram,126305.61871252435 kilogram,0.0 kilogram,2242.997067981687 kilogram,116.7846928977139 kilogram,1053.5601127222383 kilogram,346.0427909932174 kilogram,0.0 kilogram
1019125.888720258 kilogram,2792.125722521255 kilogram,14080202,457935.460141 acre,1062335.596041579 kilogram,12920.362151191268 kilogram,781779.4754630602 kilogram,224426.05110600663 kilogram,0.0 kilogram,2910.508482305696 kilogram,35.39825246901717 kilogram,2141.861576611124 kilogram,614.865893441114 kilogram,0.0 kilogram
3408369.728751919 kilogram,9337.999256854573 kilogram,17110004,508165.605214 acre,2578880.3012494836 kilogram,65488.72773164012 kilogram,3181556.511792037 kilogram,161324.4892282422 kilogram,0.0 kilogram,7065.425482875297 kilogram,179.42117186750718 kilogram,8716.593182991883 kilogram,441.9849019951841 kilogram,0.0 kilogram
6458720.809323353 kilogram,17695.125504995485 kilogram,07090004,483072.760881 acre,466629.7504651494 kilogram,42885.45568430802 kilogram,5940827.414055858 kilogram,475007.9395831874 kilogram,0.0 kilogram,1278.4376725072586 kilogram,117.49439913509046 kilogram,16276.239490563994 kilogram,1301.3916152964039 kilogram,0.0 kilogram
9371.984963840121 kilogram,25.67667113380855 kilogram,10120102,316499.362636 acre,4382.569891262124 kilogram,7546.649958857779 kilogram,1562.8763055061834 kilogram,262.45869947616 kilogram,0.0 kilogram,12.007040797978421 kilogram,20.675753311939122 kilogram,4.2818528917977625 kilogram,0.7190649300716713 kilogram,0.0 kilogram
3658859.0293340157 kilogram,10024.271313243878 kilogram,07110007,502860.912604 acre,1073378.8723025497 kilogram,45280.377699498546 kilogram,3180006.4379613753 kilogram,433572.21367314184 kilogram,0.0 kilogram,2940.7640337056155 kilogram,124.05582931369464 kilogram,8712.346405373632 kilogram,1187.869078556553 kilogram,0.0 kilogram
4705160.769300675 kilogram,12890.851422741576 kilogram,05120205,375141.849574 acre,236576.1452211287 kilogram,2115.929942108062 kilogram,4669457.931278438 kilogram,33586.90808012876 kilogram,0.0 kilogram,648.1538225236403 kilogram,5.797068334542635 kilogram,12793.035428160105 kilogram,92.0189262469281 kilogram,0.0 kilogram
1159856.1914946784 kilogram,3177.6881958758313 kilogram,11010010,778684.898675 acre,4500908.205787694 kilogram,5252.470465294113 kilogram,145721.06918831175 kilogram,1008882.6518410726 kilogram,0.0 kilogram,12331.255358322449 kilogram,14.390330041901679 kilogram,399.2358059953747 kilogram,2764.062059838555 kilogram,0.0 kilogram
1447954.4048747472 kilogram,3966.9983695198553 kilogram,13080003,2479108.38819 acre,11872.145522498935 kilogram,229550.0733481399 kilogram,298174.83366955456 kilogram,920229.4978570528 kilogram,0.0 kilogram,32.526426089038175 kilogram,628.9043105428491 kilogram,816.9173525193276 kilogram,2521.176706457679 kilogram,0.0 kilogram
2545978.964207154 kilogram,6975.284833444257 kilogram,04030109,814868.493064 acre,2303110.7051259056 kilogram,1285898.3668319883 kilogram,987650.1500932764 kilogram,272430.4472818894 kilogram,0.0 kilogram,6309.8923428107 kilogram,3523.0092241972284 kilogram,2705.89082217336 kilogram,746.3847870736696 kilogram,0.0 kilogram
3187217.5680166828 kilogram,8732.102926073103 kilogram,03050206,418532.520922 acre,822785.0787815534 kilogram,537176.7279867165 kilogram,2573946.8555215043 kilogram,76093.98450846183 kilogram,0.0 kilogram,2254.205695291927 kilogram,1471.7170629773057 kilogram,7051.909193209601 kilogram,208.4766698861968 kilogram,0.0 kilogram
43916.81635110324 kilogram,120.32004479754312 kilogram,17110006,474580.581454 acre,3298195.2884839955 kilogram,8078.414738495333 kilogram,30664.96476728107 kilogram,5173.436845326834 kilogram,0.0 kilogram,9036.151475298619 kilogram,22.132643119165294 kilogram,84.01360210213993 kilogram,14.173799576237903 kilogram,0.0 kilogram
964314.6075663471 kilogram,2641.9578289488963 kilogram,03140304,645591.720266 acre,3266386.1091123386 kilogram,189442.96367455294 kilogram,607554.71100228 kilogram,167316.9328895142 kilogram,0.0 kilogram,8949.003038663941 kilogram,519.0218182864464 kilogram,1664.5334548007672 kilogram,458.40255586168274 kilogram,0.0 kilogram
68883471.35678418 kilogram,188721.83933365528 kilogram,17030003,1896027.16424 acre,1404036.0170337409 kilogram,84830.32853178207 kilogram,68618839.7389269 kilogram,179801.28932548658 kilogram,0.0 kilogram,3846.674019270523 kilogram,232.41185899118375 kilogram,187996.82120253946 kilogram,492.6062721246208 kilogram,0.0 kilogram
792835.8961101806 kilogram,2172.1531400278923 kilogram,08060205,782622.742087 acre,4914739.431853431 kilogram,169096.636701626 kilogram,483552.4201141975 kilogram,140186.83929435708 kilogram,0.0 kilogram,13465.039539324469 kilogram,463.2784567167836 kilogram,1324.8011509978014 kilogram,384.07353231330706 kilogram,0.0 kilogram
3989293.2780768676 kilogram,10929.57062486813 kilogram,17040218,1270381.16564 acre,1443157.8588483292 kilogram,36085.27954065633 kilogram,2690643.6359954807 kilogram,1262564.3625407307 kilogram,0.0 kilogram,3953.857147529669 kilogram,98.86377956344201 kilogram,7371.626399987618 kilogram,3459.0804453170704 kilogram,0.0 kilogram
10400.597925990987 kilogram,28.494788838331473 kilogram,15020009,516480.959025 acre,1437277.3596633186 kilogram,905.072837712517 kilogram,9243.385135568153 kilogram,252.13995271031595 kilogram,0.0 kilogram,3937.7461908584073 kilogram,2.4796516101712793 kilogram,25.32434283717302 kilogram,0.690794390987167 kilogram,0.0 kilogram
16071705.861533532 kilogram,44032.070853516525 kilogram,18030003,842949.365385 acre,990167.5048970457 kilogram,3205.577854415932 kilogram,16013220.99074933 kilogram,55279.29292978755 kilogram,0.0 kilogram,2712.78768464944 kilogram,8.782405080591595 kilogram,43871.83833082008 kilogram,151.4501176158563 kilogram,0.0 kilogram
18708.212857811333 kilogram,51.25537769263379 kilogram,14050004,644285.605951 acre,59590.55042029341 kilogram,9563.651595094221 kilogram,0.0 kilogram,9144.561262717112 kilogram,0.0 kilogram,163.2617819734066 kilogram,26.20178519203896 kilogram,0.0 kilogram,25.053592500594828 kilogram,0.0 kilogram
221501.75861229456 kilogram,606.8541331843687 kilogram,17080006,433025.968161 acre,1941702.4016893685 kilogram,150239.93584345953 kilogram,52951.96133234898 kilogram,18309.861436486033 kilogram,0.0 kilogram,5319.732607368133 kilogram,411.6162625848206 kilogram,145.07386666396982 kilogram,50.16400393557817 kilogram,0.0 kilogram
205631.13506987438 kilogram,563.3729727941763 kilogram,15050305,496081.449803 acre,21208.10303656138 kilogram,16049.188827068221 kilogram,189310.37924961877 kilogram,271.5669931873842 kilogram,0.0 kilogram,58.104391880990086 kilogram,43.97038034813211 kilogram,518.6585732866267 kilogram,0.744019159417491 kilogram,0.0 kilogram
591873.494022045 kilogram,1621.5712164987535 kilogram,08070100,139218.599669 acre,34091.89675369781 kilogram,308485.98114630993 kilogram,272137.0553904861 kilogram,11250.457485249077 kilogram,0.0 kilogram,93.40245685944605 kilogram,845.1670716337259 kilogram,745.5809736725646 kilogram,30.823171192463224 kilogram,0.0 kilogram
8207365.754274409 kilogram,22485.933573354545 kilogram,04030204,280468.580261 acre,210575.90567012018 kilogram,44207.52643564692 kilogram,7939512.017201281 kilogram,223646.2106374809 kilogram,0.0 kilogram,576.9202895071786 kilogram,121.1165107825943 kilogram,21752.087718359675 kilogram,612.7293442122764 kilogram,0.0 kilogram
12742288.567979826 kilogram,34910.379638300896 kilogram,12100102,889703.347526 acre,1724197.6084527224 kilogram,118978.54680953229 kilogram,11521605.83906275 kilogram,1101704.1821075433 kilogram,0.0 kilogram,4723.829064254034 kilogram,325.96862139597886 kilogram,31566.043394692468 kilogram,3018.3676222124477 kilogram,0.0 kilogram
5241190.0891364375 kilogram,14359.424901743665 kilogram,08010205,681715.907384 acre,1612473.6364901555 kilogram,152409.54764685832 kilogram,4847043.036945839 kilogram,241737.50454373937 kilogram,0.0 kilogram,4417.735990383988 kilogram,417.5604045119406 kilogram,13279.569964235176 kilogram,662.2945329965462 kilogram,0.0 kilogram
312867.2056192128 kilogram,857.1704263540078 kilogram,12090201,810734.479278 acre,2710075.121160173 kilogram,719.4383272785897 kilogram,292499.2716488677 kilogram,19648.495643066508 kilogram,0.0 kilogram,7424.863345644309 kilogram,1.9710639103523004 kilogram,801.3678675311444 kilogram,53.83149491251098 kilogram,0.0 kilogram
58213.636877802724 kilogram,159.4894161035691 kilogram,17050107,954411.497879 acre,342678.7759943549 kilogram,8153.645537748703 kilogram,38101.08617512976 kilogram,11958.90516492426 kilogram,0.0 kilogram,938.8459616283697 kilogram,22.33875489794165 kilogram,104.38653746610895 kilogram,32.76412373951852 kilogram,0.0 kilogram
5209716.844566357 kilogram,14273.196834428376 kilogram,17060110,448514.033248 acre,1498.83705871992 kilogram,1058.7389256907654 kilogram,5164037.103151258 kilogram,44621.002489408755 kilogram,0.0 kilogram,4.106402900602521 kilogram,2.900654590933604 kilogram,14148.046857948651 kilogram,122.24932188879112 kilogram,0.0 kilogram
1827430.1938761242 kilogram,5006.658065414039 kilogram,18020003,1706559.8718 acre,10324906.888083123 kilogram,17489.63122543719 kilogram,1688225.6169118215 kilogram,121714.94573886544 kilogram,0.0 kilogram,28287.416131734582 kilogram,47.91679787791011 kilogram,4625.275662772114 kilogram,333.4656047640149 kilogram,0.0 kilogram
7792.356694384215 kilogram,21.348922450367713 kilogram,18030001,700040.933501 acre,2717115.867682592 kilogram,6146.687554806115 kilogram,1276.5069167167658 kilogram,369.16222286133427 kilogram,0.0 kilogram,7444.153062144088 kilogram,16.840239876181137 kilogram,3.49727922388155 kilogram,1.0114033503050255 kilogram,0.0 kilogram
4356897.245672245 kilogram,11936.704782663684 kilogram,11130203,709304.292568 acre,195341.34605295386 kilogram,403.2802530575743 kilogram,4345429.565381074 kilogram,11064.400038112937 kilogram,0.0 kilogram,535.1817700080927 kilogram,1.10487740563719 kilogram,11905.286480496094 kilogram,30.313424761953254 kilogram,0.0 kilogram
3299847.5966146896 kilogram,9040.678346889561 kilogram,03150203,1431538.03116 acre,6564856.930409046 kilogram,586092.4124982227 kilogram,1939654.4303683622 kilogram,774100.7537481051 kilogram,0.0 kilogram,17985.909398380947 kilogram,1605.732636981432 kilogram,5314.121727036609 kilogram,2120.823982871521 kilogram,0.0 kilogram
0.0 kilogram,0.0 kilogram,18020119,579280.906038 acre,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram
137500.89512848324 kilogram,376.71478117392667 kilogram,16060008,3399973.22928 acre,11058569.780370966 kilogram,19128.485401569375 kilogram,6485.45465975433 kilogram,111886.95506715955 kilogram,0.0 kilogram,30297.45145307114 kilogram,52.40680931936815 kilogram,17.76836893083378 kilogram,306.5396029237248 kilogram,0.0 kilogram
107402.36962696414 kilogram,294.2530674711346 kilogram,13060005,1201960.05239 acre,793412.4957777588 kilogram,996.7583110735071 kilogram,93773.81299346666 kilogram,12631.798322423956 kilogram,0.0 kilogram,2173.7328651445446 kilogram,2.7308446878726222 kilogram,256.914556146484 kilogram,34.607666636777964 kilogram,0.0 kilogram
3334091.4999519405 kilogram,9134.497260142303 kilogram,04010201,1880705.05874 acre,5797790.1059715375 kilogram,2740409.7585651013 kilogram,235679.77777394452 kilogram,358001.9636128945 kilogram,0.0 kilogram,15884.35645471654 kilogram,7507.97194127425 kilogram,645.6980212984781 kilogram,980.8272975695741 kilogram,0.0 kilogram
4019215.2739457553 kilogram,11011.548695741796 kilogram,10110203,1392987.3457 acre,623102.3840300429 kilogram,34085.93664678676 kilogram,3583533.3720450653 kilogram,401595.96525390324 kilogram,0.0 kilogram,1707.1298192603915 kilogram,93.38612779941577 kilogram,9817.899649438536 kilogram,1100.2629185038445 kilogram,0.0 kilogram
1442579.993972662 kilogram,3952.2739560894847 kilogram,12030101,1257934.88855 acre,1990349.8851694404 kilogram,6165.911505378995 kilogram,1177932.7832697984 kilogram,258481.29919748448 kilogram,0.0 kilogram,5453.013384025864 kilogram,16.892908233915055 kilogram,3227.2131048487627 kilogram,708.1679430068068 kilogram,0.0 kilogram
54204.022677803725 kilogram,148.5041717200102 kilogram,16060015,1834387.03356 acre,1172407.8837464815 kilogram,1301.0852213838648 kilogram,42884.70142850527 kilogram,10018.236027914585 kilogram,0.0 kilogram,3212.0763938259765 kilogram,3.5646170448873007 kilogram,117.49233268083636 kilogram,27.447221994286533 kilogram,0.0 kilogram
11277.978940562136 kilogram,30.898572439896263 kilogram,17060208,839214.866762 acre,4306601.091916861 kilogram,10041.272467076156 kilogram,457.2108171326885 kilogram,779.4956563532904 kilogram,0.0 kilogram,11798.907101142086 kilogram,27.510335526236045 kilogram,1.2526323757059958 kilogram,2.1356045379542206 kilogram,0.0 kilogram
7171.382714127654 kilogram,19.647623874322342 kilogram,18030010,988688.057917 acre,4227042.056147329 kilogram,4293.727980917827 kilogram,2876.1655429053826 kilogram,1.4891903044447299 kilogram,0.0 kilogram,11580.937140129667 kilogram,11.763638303884457 kilogram,7.8799055970010485 kilogram,0.004079973436834876 kilogram,0.0 kilogram
12628088.926866619 kilogram,34597.50390922361 kilogram,04090001,765713.757455 acre,1132425.5877199082 kilogram,178612.33161217126 kilogram,12060726.025087086 kilogram,388750.5701673611 kilogram,0.0 kilogram,3102.535856766872 kilogram,489.348853731976 kilogram,33043.08500023859 kilogram,1065.070055253044 kilogram,0.0 kilogram
108975.65141155157 kilogram,298.56342852479884 kilogram,13040301,1689105.86561 acre,127157.00695105527 kilogram,2794.103536947008 kilogram,106181.54787460457 kilogram,0.0 kilogram,0.0 kilogram,348.37536150974046 kilogram,7.655078183416459 kilogram,290.9083503413824 kilogram,0.0 kilogram,0.0 kilogram
501049.098536271 kilogram,1372.7372562637563 kilogram,01080105,455550.940484 acre,3347911.9299868713 kilogram,16875.884805735277 kilogram,274887.0815602489 kilogram,209286.13217028684 kilogram,0.0 kilogram,9172.361452018826 kilogram,46.235300837630895 kilogram,753.1152919458874 kilogram,573.386663480238 kilogram,0.0 kilogram
1005208.6503022492 kilogram,2753.996302197943 kilogram,12110104,1023653.61653 acre,36382.22267056932 kilogram,60986.45694605396 kilogram,937755.1836240458 kilogram,6467.009732149467 kilogram,0.0 kilogram,99.67732238512141 kilogram,167.08618341384647 kilogram,2569.1922839014956 kilogram,17.717834882601277 kilogram,0.0 kilogram
2186442.6633852827 kilogram,5990.253872288446 kilogram,11110201,811442.918297 acre,4264108.404893324 kilogram,29772.27306824584 kilogram,1251533.354591418 kilogram,905137.035725619 kilogram,0.0 kilogram,11682.488780529655 kilogram,81.56787141985161 kilogram,3428.8585057299124 kilogram,2479.827495138682 kilogram,0.0 kilogram
345496.97551365604 kilogram,946.5670562017974 kilogram,01080104,330996.435742 acre,2464128.179556177 kilogram,23371.451199351795 kilogram,208204.4053776271 kilogram,113921.11893667717 kilogram,0.0 kilogram,6751.036108373088 kilogram,64.03137314890903 kilogram,570.4230284318551 kilogram,312.11265462103336 kilogram,0.0 kilogram
255114.12169894186 kilogram,698.9427991751832 kilogram,17100306,325577.72032 acre,1620262.2395020516 kilogram,52835.98654482723 kilogram,176860.23675023907 kilogram,25417.898403875544 kilogram,0.0 kilogram,4439.074628772744 kilogram,144.7561275200746 kilogram,484.54859383627144 kilogram,69.6380778188371 kilogram,0.0 kilogram
3502579.5202092645 kilogram,9596.10827454593 kilogram,18040008,701356.552268 acre,2760840.2258564634 kilogram,5596.4617522241115 kilogram,3471278.2321930537 kilogram,25704.826263986717 kilogram,0.0 kilogram,7563.945824264283 kilogram,15.332771923901674 kilogram,9510.35132107686 kilogram,70.42418154516909 kilogram,0.0 kilogram
0.0 kilogram,0.0 kilogram,09030004,335472.96525 acre,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram,0.0 kilogram
19779.587987562325 kilogram,54.1906520207187 kilogram,15020016,1536397.68815 acre,1992536.1018560948 kilogram,12726.053331311856 kilogram,6460.163579147313 kilogram,593.3710771031581 kilogram,0.0 kilogram,5459.003018783821 kilogram,34.865899537840704 kilogram,17.699078299033733 kilogram,1.6256741838442688 kilogram,0.0 kilogram
51600.47195770336 kilogram,141.37115604850237 kilogram,16040104,641487.669243 acre,674859.0053633146 kilogram,10883.078410978704 kilogram,11748.47920961438 kilogram,28968.914337110276 kilogram,0.0 kilogram,1848.9287818173004 kilogram,29.816653180763574 kilogram,32.18761427291611 kilogram,79.36688859482267 kilogram,0.0 kilogram
4801106.799506427 kilogram,13153.717258921717 kilogram,12030103,1186233.18424 acre,1218431.2267450015 kilogram,32489.40576551898 kilogram,4016976.888942491 kilogram,751640.5047984169 kilogram,0.0 kilogram,3338.1677445068535 kilogram,89.01207059046295 kilogram,11005.416134089015 kilogram,2059.289054242238 kilogram,0.0 kilogram
6690.008813400472 kilogram,18.328791269590333 kilogram,15080102,1221006.56798 acre,2702.4826768469165 kilogram,5246.182324233138 kilogram,468.17055642445274 kilogram,975.6559327428805 kilogram,0.0 kilogram,7.404062128347716 kilogram,14.373102258172981 kilogram,1.2826590586971307 kilogram,2.6730299527202206 kilogram,0.0 kilogram
4058757.914269087 kilogram,11119.884696627636 kilogram,13070001,2830532.03039 acre,0.0 kilogram,21588.02144317459 kilogram,4028512.0428566523 kilogram,8657.84996926013 kilogram,0.0 kilogram,0.0 kilogram,59.14526422787559 kilogram,11037.019295497677 kilogram,23.72013690208255 kilogram,0.0 kilogram
23476.21514262402 kilogram,64.31839765102471 kilogram,16060011,2067984.4118 acre,3556676.8499598196 kilogram,1490.0780553527748 kilogram,18479.723815097474 kilogram,3506.4132721737747 kilogram,0.0 kilogram,9744.320136876218 kilogram,4.082405631103493 kilogram,50.629380315335546 kilogram,9.606611704585683 kilogram,0.0 kilogram
